127.0.0.1, 2018-04-22 15:32:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000722
127.0.0.1, 2018-04-22 15:32:23, GET, /start/default/index, HTTP/1.1, 200, 0.023989
127.0.0.1, 2018-04-22 15:32:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001258
127.0.0.1, 2018-04-23 13:09:55, GET, /, HTTP/1.1, 303, 0.010799
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.672676
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003180
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.012178
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.021762
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001026
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000857
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.058751
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.081791
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.096866
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.078935
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.098571
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002996
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002249
127.0.0.1, 2018-04-23 13:09:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001384
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/default/index, HTTP/1.1, 200, 0.523558
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.024078
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.048454
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.062348
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.063451
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.052185
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.102328
127.0.0.1, 2018-04-23 13:10:00, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.103669
